case_rank,scenario,task,task_id,run_id,target_case,model,model_type,features,n_features,input_strategy,segment,input_length_pct,rmse,r2,mae,n_runs,seed,source_file
4,S1,T3,S1_T3,2026-06-08_165151_H4_S1_T3_locv_target_restricted,12,SVR,ML,Raw+Delta+Meta,51,prefix_target_restricted,-,40.0,0.0505244739279691,0.9266598843058862,0.0407385314956683,14,0,experiments/executions/H4/S1/T3/2026-06-08_165151_H4_S1_T3_locv_target_restricted/metrics/H4_S1_T3_shift_metrics.csv
5,S1,T1,S1_T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,12,Ridge,ML,Raw+Meta,27,prefix,-,100.0,0.0534342336590774,0.917969159637114,0.0434250287589879,14,0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
1,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,13,feature_gru,DL,Delta+Meta,27,prefix,-,70.0,0.0969145936194138,0.9557179808616638,0.0628441274166107,15,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
2,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,13,feature_gru,DL,Delta+Meta,27,prefix,-,60.0,0.1190131983407587,0.9332210421562196,0.0671310648322105,15,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
3,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,13,feature_gru,DL,Delta+Meta,27,prefix,-,50.0,0.120829212509652,0.9311675429344176,0.0757213309407234,15,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
4,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,13,feature_gru,DL,Delta+Meta,27,prefix,-,40.0,0.125645120181425,0.9255712628364564,0.0832192376255989,15,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
5,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,13,feature_gru,DL,Delta+Meta,27,prefix,-,30.0,0.1325928891918426,0.9171123504638672,0.088514357805252,15,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
1,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,14,feature_gru,DL,Delta+Meta,27,prefix,-,80.0,0.0931556257990335,0.929180145263672,0.0716907605528831,9,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
2,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,14,feature_gru,DL,Delta+Meta,27,prefix,-,100.0,0.0997528884228691,0.91879403591156,0.0863454714417457,9,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
3,S1,T1,S1_T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,14,XGBoost,ML,Raw+Meta,27,prefix,-,30.0,0.0998044261250353,0.9187100971843998,0.0885378647512859,9,0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
4,S1,T3,S1_T3,2026-06-08_165151_H4_S1_T3_locv_target_restricted,14,XGBoost,ML,Raw+Delta+Meta,51,prefix_target_restricted,-,30.0,0.0998044261250353,0.9187100971843998,0.0885378647512859,9,0,experiments/executions/H4/S1/T3/2026-06-08_165151_H4_S1_T3_locv_target_restricted/metrics/H4_S1_T3_shift_metrics.csv
5,S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,14,XGBoost,ML,Raw,24,prefix,-,30.0,0.1006079190234407,0.9173959514993446,0.0893003058433532,9,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
1,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,15,feature_gru,DL,Delta+Meta,27,prefix,-,60.0,0.0179905135067116,0.993529498577118,0.0142074422910809,7,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
2,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,15,feature_gru,DL,Delta+Meta,27,prefix,-,100.0,0.020603327899833,0.9915135502815248,0.017610078677535,7,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
3,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,15,feature_gru,DL,Delta+Meta,27,prefix,-,70.0,0.0215107413270846,0.9907495379447936,0.0164178516715765,7,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
4,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,15,feature_gru,DL,Delta+Meta,27,prefix,-,50.0,0.0278665648341495,0.9844754338264464,0.021092003211379,7,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
5,S1,T2,S1_T2,2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models,15,feature_gru,DL,Raw+Delta+Meta,51,prefix,-,50.0,0.0344371854285058,0.976291298866272,0.0289737321436405,7,0,experiments/executions/H4/S1/T2/2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models/metrics/H4_S1_T2_shift_metrics.csv
1,S1,T7,S1_T7,2026-06-08_174208_H4_S1_T7_delta_only,16,Ridge,ML,Delta,24,prefix,-,80.0,0.0320640214849191,0.9739867493278938,0.0257358629064848,6,0,experiments/executions/H4/S1/T7/2026-06-08_174208_H4_S1_T7_delta_only/metrics/H4_S1_T7_shift_metrics.csv
2,S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,16,feature_gru,DL,Delta+Meta,27,prefix,-,80.0,0.0428494251491036,0.9535432457923888,0.031625036150217,6,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
3,S1,T2,S1_T2,2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models,16,feature_gru,DL,Raw+Delta+Meta,51,prefix,-,60.0,0.0486045894347057,0.9402258992195128,0.0373044162988662,6,0,experiments/executions/H4/S1/T2/2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models/metrics/H4_S1_T2_shift_metrics.csv
4,S1,T2,S1_T2,2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models,16,feature_gru,DL,Raw+Delta+Meta,51,prefix,-,70.0,0.0503118280586544,0.9359530210494996,0.0353548564016819,6,0,experiments/executions/H4/S1/T2/2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models/metrics/H4_S1_T2_shift_metrics.csv
5,S1,T2,S1_T2,2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models,16,feature_gru,DL,Raw+Delta+Meta,51,prefix,-,40.0,0.0514951442104897,0.932904839515686,0.0377453006803989,6,0,experiments/executions/H4/S1/T2/2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models/metrics/H4_S1_T2_shift_metrics.csv
