scenario,task,task_id,run_id,target_case,model,model_type,features,n_features,input_strategy,segment,input_length_pct,rmse,r2,mae,n_runs,seed,source_file
S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,RandomForest,ML,Raw,24,prefix,-,80.0,0.0617940958967636,0.7993275374332661,0.0507178571428571,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
S1,T1,S1_T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,4,RandomForest,ML,Raw+Meta,27,prefix,-,90.0,0.0623762116178408,0.7955289607315644,0.0521011904761904,7,0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,Ridge,ML,Raw,24,prefix,-,20.0,0.0624769353006834,0.7948680772375334,0.048821368698332,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
S1,T1,S1_T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,4,XGBoost,ML,Raw+Meta,27,prefix,-,40.0,0.0625702197315548,0.7942550541983081,0.0518748663578714,7,0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,XGBoost,ML,Raw,24,prefix,-,100.0,0.0625754170863442,0.7942208726373152,0.0479082230159214,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,SVR,ML,Raw,24,prefix,-,20.0,0.0627280694940565,0.7932156537750875,0.0566839860783335,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
S1,T5,S1_T5,2026-06-08_171530_H4_S1_T5_with_case6,4,RandomForest,ML,Raw+Delta+Meta,51,prefix_with_case6,-,60.0,0.0631096637035705,0.7906921353645315,0.0503583333333333,7,0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,RandomForest,ML,Raw,24,prefix,-,100.0,0.0631741957442792,0.7902638659492827,0.0546142857142856,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
S1,T1,S1_T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,4,RandomForest,ML,Raw+Meta,27,prefix,-,60.0,0.0635987821368122,0.7874351679804807,0.0573369047619046,7,0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,4,MLP,ML,Delta+Meta,27,prefix,-,90.0,0.0636558017917972,0.7870538460037837,0.0503306797159605,7,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,RandomForest,ML,Raw,24,prefix,-,90.0,0.0636817511268911,0.7868801952994662,0.0544845238095237,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
S1,T1,S1_T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,4,RandomForest,ML,Raw+Meta,27,prefix,-,80.0,0.0637942257892328,0.786126706393894,0.0522988095238094,7,0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
S3,T4,S3_T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,4,RandomForest,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,50.0,0.0641487747164281,0.7837428146896896,0.0555547619047618,7,0,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/metrics/H4_S3_T4_locv_per_case.csv
S3,T4,S3_T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,4,RandomForest,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,40.0,0.0644141746268407,0.7819496903153156,0.0569999999999999,7,0,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/metrics/H4_S3_T4_locv_per_case.csv
S1,T1,S1_T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,4,XGBoost,ML,Raw+Meta,27,prefix,-,30.0,0.0644638471719171,0.7816132646739491,0.0469337253485407,7,0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
S3,T4,S3_T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,4,RandomForest,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,60.0,0.0648805687734399,0.7787806499207541,0.0559154761904762,7,0,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/metrics/H4_S3_T4_locv_per_case.csv
S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,RandomForest,ML,Raw,24,prefix,-,30.0,0.0652162830237093,0.7764853978978985,0.0559190476190475,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,4,Ridge,ML,Delta+Meta,27,prefix,-,20.0,0.066043067067412,0.7707822300773666,0.0495514598779246,7,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
S1,T8,S1_T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,4,RandomForest,ML,Raw+Delta,48,prefix,-,60.0,0.0660461966299779,0.7707605058183186,0.0524464285714285,7,0,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/metrics/H4_S1_T8_shift_metrics.csv
S1,T7,S1_T7,2026-06-08_174208_H4_S1_T7_delta_only,4,RandomForest,ML,Delta,24,prefix,-,100.0,0.0660765917520337,0.7705494606384795,0.0589082319938451,7,0,experiments/executions/H4/S1/T7/2026-06-08_174208_H4_S1_T7_delta_only/metrics/H4_S1_T7_shift_metrics.csv
