model,input_length_pct,mean_rmse,mean_r2,mean_mae,task_id,scenario,task,run_id,features,input_strategy,segment,source_file
RandomForest,10.0,0.1365653167853341,0.5673000446947725,0.1056358925177155,S3_T4,S3,T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,Raw+Delta+Meta,noload_excl_prefix,Entry+Steady+Exit,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/analysis/H4_S3_T4_locv_aggregated.csv
RandomForest,20.0,0.1288498898123185,0.650535508860528,0.0980163734688474,S3_T4,S3,T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,Raw+Delta+Meta,noload_excl_prefix,Entry+Steady+Exit,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/analysis/H4_S3_T4_locv_aggregated.csv
RandomForest,30.0,0.1228049944644317,0.6659085721536148,0.0950257722830987,S3_T4,S3,T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,Raw+Delta+Meta,noload_excl_prefix,Entry+Steady+Exit,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/analysis/H4_S3_T4_locv_aggregated.csv
RandomForest,40.0,0.1280634300138101,0.646561883185539,0.0981291775219192,S3_T4,S3,T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,Raw+Delta+Meta,noload_excl_prefix,Entry+Steady+Exit,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/analysis/H4_S3_T4_locv_aggregated.csv
RandomForest,50.0,0.1206123819159012,0.5527748306720179,0.0927748013796051,S1_T5,S1,T5,2026-06-08_171530_H4_S1_T5_with_case6,Raw+Delta+Meta,prefix_with_case6,-,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/analysis/H4_S1_T5_locv_aggregated.csv
RandomForest,60.0,0.119768531450308,0.5821128876358621,0.092327608632221,S1_T5,S1,T5,2026-06-08_171530_H4_S1_T5_with_case6,Raw+Delta+Meta,prefix_with_case6,-,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/analysis/H4_S1_T5_locv_aggregated.csv
RandomForest,70.0,0.119450894414391,0.5823165020944737,0.093363593761385,S1_T5,S1,T5,2026-06-08_171530_H4_S1_T5_with_case6,Raw+Delta+Meta,prefix_with_case6,-,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/analysis/H4_S1_T5_locv_aggregated.csv
RandomForest,80.0,0.1203267823510024,0.5825133633912691,0.0943393666897035,S1_T5,S1,T5,2026-06-08_171530_H4_S1_T5_with_case6,Raw+Delta+Meta,prefix_with_case6,-,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/analysis/H4_S1_T5_locv_aggregated.csv
RandomForest,90.0,0.1185939721186944,0.6212337718893922,0.0926276304190386,S1_T5,S1,T5,2026-06-08_171530_H4_S1_T5_with_case6,Raw+Delta+Meta,prefix_with_case6,-,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/analysis/H4_S1_T5_locv_aggregated.csv
RandomForest,100.0,0.1166812115018637,0.6494671574997714,0.0906521339318893,S1_T5,S1,T5,2026-06-08_171530_H4_S1_T5_with_case6,Raw+Delta+Meta,prefix_with_case6,-,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/analysis/H4_S1_T5_locv_aggregated.csv
