rank,task,scenario,model,model_type,features,n_features,sensor_subset,input_strategy,segment,input_length_pct,rmse,r2,mae,eval_mode,n_seed,note
79,S3_T3,S3,MLP,DL,Raw+Delta+Meta,51,all_6,segment,Steady,100,0.288073,-2.185054,0.219654,all_vb,,
39,S3_T4,S3,RandomForest,ML,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,60,0.121919,0.663901,0.096211,all_vb,,
41,S3_T3,S3,RandomForest,ML,Raw+Delta+Meta,51,all_6,segment,Steady,100,0.124527,0.644673,0.099278,all_vb,,
42,S3_T2,S3,RandomForest,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady,100,0.125375,0.654184,0.096736,all_vb,,
43,S3_T1,S3,RandomForest,ML,Raw+Delta+Meta,51,all_6,segment,Entry+Steady+Exit,100,0.125463,0.603716,0.098144,all_vb,,
43,S3_T4,S3,RandomForest,ML,Raw+Delta+Meta,51,all_6,noload_excl_prefix,Entry+Steady+Exit,100,0.125463,0.603716,0.098144,all_vb,,
51,B2_S2_RandomForest_Steady_all6,B2_S2,RandomForest,ML,Delta+Meta,27,all_6,segment,Steady,100,0.128259,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
53,B2_S2_RandomForest_Entry_Steady_all6,B2_S2,RandomForest,ML,Delta+Meta,27,all_6,segment,Entry_Steady,100,0.1289,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
55,B2_S2_RandomForest_Entry_all6,B2_S2,RandomForest,ML,Delta+Meta,27,all_6,segment,Entry,100,0.129143,,,observed_vb,5.0,PROVISIONAL: idx_start contamination unresolved (see [B1]/[B3] 2026-06-23)
63,B2_S1_RandomForest_Exclude_exit_all6,B2_S1,RandomForest,ML,Delta+Meta,27,all_6,segment,Exclude_exit,100,0.13557,,,observed_vb,5.0,
